1	0	1	2	3																
3	4	5	6																	
4	2	7																		
8	8	9	10	11																
9	12	13	14																	
14	4	8	15																	
17	13	16	17	18	19															
19	10	20																		
21	21	14	19	22																
22	23	24																		
24	25	23	26	27																
25	28	29	21	30																
26	4	31	32																	
27	33	34	4																	
29	35	33	1	36	37	38	39	0	28	40										
30	35	33	1	36	37	38	39	0	28	40										
31	41																			
32	31																			
34	38	42																		
35	43	44	45	46	5															
37	43	47	16	48	11															
43	49	50	36	47	46															
46	9	51																		
47	52	29	53																	
48	52	29	53																	
52	54	55																		
53	35	54	37	12	33															
57	0	56	57																	
62	56	41	49	58																
64	59	9	56	10	60															
65	13	61																		
66	4	48	43	5	44															
69	26	23	25	49	62															
74	50	46	63	47	64															
75	48	4	25	63	46	47	62	45	23											
76	48	4	25	63	46	47	62	45	23											
77	34	65																		
78	10	66																		
79	67	68																		
80	67	68																		
82	33	69	37	0	19	59	70	18	17											
83	33	69	37	0	19	59	70	18	17											
84	4	71																		
86	36	72																		
88	73	74																		
89	74	73																		
